prime,num_forms,mean_a2,std_a2,mean_trace,mean_rank,frac_rank0,frac_rank1,frac_rank2,frac_cm,mean_cond,mean_trace_1,mean_trace_2,mean_trace_3,mean_trace_4,mean_trace_5,mean_trace_6,mean_trace_7,mean_trace_8,mean_trace_9,mean_trace_10,mean_trace_11,mean_trace_12,mean_trace_13,mean_trace_14,mean_trace_15,mean_trace_16,mean_trace_17,mean_trace_18,mean_trace_19,mean_trace_20,mean_trace_21,mean_trace_22,mean_trace_23,mean_trace_24,mean_trace_25,mean_trace_26,mean_trace_27,mean_trace_28,mean_trace_29,mean_trace_30,mean_trace_31,mean_trace_32,mean_trace_33,mean_trace_34,mean_trace_35,mean_trace_36,mean_trace_37,mean_trace_38,mean_trace_39,mean_trace_40,mean_trace_41,mean_trace_42,mean_trace_43,mean_trace_44,mean_trace_45,mean_trace_46,mean_trace_47,mean_trace_48,mean_trace_49,mean_trace_50,mean_trace_51,mean_trace_52,mean_trace_53,mean_trace_54,mean_trace_55,mean_trace_56,mean_trace_57,mean_trace_58,mean_trace_59,mean_trace_60,mean_trace_61,mean_trace_62,mean_trace_63,mean_trace_64,mean_trace_65,mean_trace_66,mean_trace_67,mean_trace_68,mean_trace_69,mean_trace_70,mean_trace_71,mean_trace_72,mean_trace_73,mean_trace_74,mean_trace_75,mean_trace_76,mean_trace_77,mean_trace_78,mean_trace_79,mean_trace_80,mean_trace_81,mean_trace_82,mean_trace_83,mean_trace_84,mean_trace_85,mean_trace_86,mean_trace_87,mean_trace_88,mean_trace_89,mean_trace_90,mean_trace_91,mean_trace_92,mean_trace_93,mean_trace_94,mean_trace_95,mean_trace_96,mean_trace_97,mean_trace_98,mean_trace_99,mean_trace_100
11,1,-1.0,,16.0,0.0,1.0,0.0,0.0,0.0,0.0878354422234084,-1.0,2.0,1.0,2.0,-2.0,0.0,-2.0,-2.0,1.0,-2.0,4.0,4.0,-1.0,-4.0,-2.0,4.0,0.0,2.0,2.0,-2.0,-1.0,0.0,-4.0,-8.0,5.0,-4.0,0.0,2.0,7.0,8.0,-1.0,4.0,-2.0,-4.0,3.0,0.0,-4.0,0.0,-8.0,-4.0,-6.0,2.0,-2.0,2.0,8.0,4.0,-3.0,8.0,2.0,8.0,-6.0,-10.0,1.0,0.0,0.0,0.0,5.0,-2.0,12.0,-14.0,4.0,-8.0,4.0,2.0,-7.0,-4.0,1.0,4.0,-3.0,0.0,4.0,-6.0,4.0,0.0,-2.0,8.0,-10.0,-4.0,1.0,16.0,-6.0,4.0,-2.0,12.0,0.0,0.0,15.0,4.0,-8.0,-2.0,-7.0,-16.0,0.0,-8.0,-7.0,6.0,-2.0,-8.0,-0.193878,5.52482
17,1,0.0,,12.0,0.0,1.0,0.0,0.0,0.0,0.1357456834361766,0.0,-1.0,-2.0,0.0,4.0,3.0,-3.0,2.0,0.0,0.0,-2.0,-4.0,0.0,-1.0,1.0,3.0,-4.0,2.0,0.0,0.0,4.0,0.0,-1.0,2.0,0.0,-4.0,6.0,0.0,4.0,-5.0,0.0,-1.0,-8.0,3.0,-2.0,4.0,0.0,-6.0,-6.0,0.0,4.0,0.0,6.0,-4.0,0.0,0.0,9.0,1.0,0.0,2.0,6.0,0.0,0.0,12.0,0.0,-6.0,-12.0,0.0,-10.0,-4.0,-12.0,7.0,4.0,0.0,4.0,-1.0,0.0,8.0,-4.0,-9.0,-6.0,2.0,0.0,4.0,0.0,0.0,12.0,2.0,9.0,6.0,-4.0,0.0,-2.0,-4.0,0.0,0.0,10.0,-6.0,-8.0,-4.0,0.0,0.0,8.0,0.0,2.0,-9.0,0.0,1.0,0.020408,4.64446
19,1,-2.0,,12.0,0.0,1.0,0.0,0.0,0.0,0.1517157638404327,-2.0,-2.0,3.0,0.0,-1.0,0.0,1.0,0.0,3.0,4.0,-4.0,0.0,-6.0,4.0,-3.0,0.0,1.0,-6.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,6.0,0.0,-4.0,0.0,-6.0,0.0,-3.0,-2.0,2.0,0.0,8.0,0.0,-6.0,0.0,-1.0,-6.0,3.0,0.0,-3.0,-8.0,-6.0,0.0,6.0,8.0,12.0,0.0,9.0,0.0,-2.0,0.0,-6.0,12.0,-1.0,0.0,-1.0,-8.0,-12.0,0.0,-4.0,6.0,0.0,0.0,6.0,0.0,-7.0,0.0,-8.0,-2.0,-3.0,0.0,8.0,12.0,-11.0,0.0,12.0,-4.0,-9.0,0.0,-12.0,0.0,12.0,0.0,4.0,0.0,8.0,0.0,3.0,0.0,8.0,0.0,3.0,-8.0,0.091837,5.125142
23,1,1.0,,15.0,0.0,1.0,0.0,0.0,0.0,0.1836559246489449,1.0,0.0,-2.0,-3.0,0.0,1.0,2.0,4.0,-2.0,2.0,3.0,2.0,-6.0,-3.0,4.0,-2.0,-2.0,-2.0,-4.0,0.0,1.0,5.0,3.0,-3.0,-1.0,-2.0,-3.0,8.0,-3.0,4.0,2.0,-6.0,4.0,0.0,2.0,2.0,3.0,-6.0,3.0,2.0,0.0,2.0,-4.0,-1.0,1.0,-9.0,-3.0,-7.0,8.0,0.0,-6.0,3.0,0.0,-4.0,-2.0,3.0,0.0,-2.0,6.0,9.0,0.0,3.0,-6.0,4.0,-6.0,2.0,1.0,-4.0,9.0,2.0,13.0,-4.0,11.0,0.0,-4.0,-9.0,2.0,12.0,-11.0,-7.0,-12.0,2.0,-12.0,0.0,-3.0,2.0,-4.0,8.0,0.0,0.0,-15.0,-3.0,4.0,2.0,8.0,7.0,-4.0,4.0,-0.061224,5.092644
29,1,0.0,,14.0,0.0,1.0,0.0,0.0,0.0,0.2315661658617131,0.0,-1.0,-1.0,-1.0,2.0,-2.0,-2.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,-4.0,-2.0,6.0,1.0,-2.0,1.0,-6.0,-1.0,-4.0,2.0,2.0,-6.0,1.0,1.0,-2.0,4.0,-1.0,-2.0,-2.0,6.0,-4.0,0.0,-2.0,2.0,10.0,2.0,6.0,-4.0,2.0,-4.0,4.0,0.0,1.0,0.0,2.0,-5.0,-5.0,1.0,-2.0,-2.0,0.0,0.0,6.0,-2.0,0.0,-5.0,-8.0,-5.0,-1.0,0.0,-4.0,8.0,4.0,-2.0,-4.0,2.0,4.0,0.0,0.0,-6.0,6.0,3.0,0.0,-3.0,5.0,6.0,-2.0,-2.0,4.0,1.0,0.0,-3.0,2.0,2.0,6.0,14.0,5.0,3.0,-6.0,-1.0,-10.0,0.0,-6.0,4.0,0.142857,3.886134
31,1,-2.0,,17.0,0.0,1.0,0.0,0.0,0.0,0.2475362462659691,-2.0,0.0,1.0,-4.0,-1.0,-1.0,5.0,1.0,2.0,-2.0,-2.0,1.0,-2.0,-3.0,2.0,9.0,-1.0,0.0,-2.0,2.0,2.0,6.0,-4.0,-4.0,-12.0,2.0,4.0,-4.0,1.0,-4.0,-4.0,0.0,-1.0,4.0,-2.0,-3.0,8.0,-1.0,7.0,0.0,0.0,0.0,5.0,8.0,0.0,12.0,-2.0,-4.0,0.0,-2.0,-8.0,-16.0,2.0,-3.0,6.0,2.0,1.0,-2.0,2.0,1.0,3.0,3.0,-2.0,-8.0,8.0,-2.0,-16.0,1.0,-3.0,-13.0,6.0,-2.0,8.0,-2.0,-2.0,12.0,-8.0,-3.0,17.0,7.0,-10.0,2.0,2.0,2.0,-4.0,-2.0,8.0,9.0,-2.0,6.0,-2.0,4.0,-1.0,6.0,-11.0,-10.0,10.0,0.0,0.112245,5.703351
37,2,-1.0,2.8284271247461903,22.5,0.5,0.5,0.5,0.0,0.0,0.2954464874787374,-1.0,0.0,-1.0,3.0,-1.0,0.0,2.0,2.0,-1.0,-4.0,-3.0,1.0,3.0,0.0,3.0,-6.0,1.0,-2.0,1.0,5.0,4.0,0.0,-3.0,2.0,-7.0,0.0,0.0,-6.0,-4.0,4.0,9.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,-9.0,-3.0,5.0,-8.0,-6.0,-2.0,-3.0,8.0,-6.0,1.0,3.0,2.0,-1.0,9.0,5.0,0.0,1.0,-6.0,10.0,6.0,0.0,4.0,-2.0,-8.0,2.0,-15.0,2.0,-6.0,0.0,-2.0,-3.0,0.0,5.0,1.0,-1.0,-2.0,1.0,-6.0,-3.0,4.0,5.0,9.0,-3.0,4.0,0.0,-2.0,-12.0,0.0,5.0,12.0,3.0,-4.0,4.0,9.0,0.0,-12.0,6.0,6.0,-18.0,4.0,0.040816,6.863032499999999
41,1,1.0,,25.0,0.0,1.0,0.0,0.0,0.0,0.3273866482872495,1.0,3.0,1.0,-1.0,1.0,-6.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,0.0,11.0,-2.0,5.0,1.0,7.0,1.0,-7.0,2.0,-3.0,-3.0,8.0,-4.0,5.0,-4.0,-2.0,2.0,-14.0,-1.0,4.0,2.0,-10.0,3.0,3.0,0.0,-11.0,1.0,-1.0,0.0,17.0,-3.0,2.0,7.0,7.0,-6.0,4.0,-2.0,-18.0,0.0,6.0,6.0,-9.0,3.0,6.0,-2.0,4.0,-4.0,-2.0,-3.0,15.0,-6.0,-3.0,-1.0,-6.0,4.0,-4.0,3.0,17.0,3.0,-9.0,-3.0,-11.0,3.0,4.0,13.0,15.0,2.0,-2.0,-4.0,3.0,-2.0,-4.0,-4.0,-25.0,-4.0,9.0,-4.0,-10.0,4.0,-23.0,-4.0,-9.0,6.0,9.0,-7.0,-5.0,-0.438776,7.114323
43,2,-1.5,0.7071067811865476,17.5,0.5,0.5,0.5,0.0,0.0,0.3433567286915056,-1.5,1.0,-1.5,1.0,-0.5,-1.0,0.0,4.0,2.0,-2.0,-1.0,0.0,4.0,-4.0,2.0,-1.5,-3.0,-4.0,0.0,-1.5,-2.0,2.0,4.0,7.5,4.0,0.0,-1.5,-9.0,-2.0,4.0,-4.5,7.5,-1.0,1.0,-3.0,-1.0,2.5,0.0,1.0,1.0,0.0,3.0,-2.5,-2.5,5.0,6.0,-6.0,-14.5,-1.5,-5.0,2.0,0.0,-6.5,0.0,5.0,9.0,-6.0,8.0,4.5,-0.5,0.5,0.0,10.5,5.0,2.0,-3.0,4.5,1.0,-3.0,1.0,-3.5,-6.0,-7.5,-2.0,0.5,-13.0,-4.0,6.0,-8.0,-7.5,14.0,0.0,8.5,1.5,3.0,-3.0,-6.5,4.0,-0.5,-1.0,2.5,-1.0,3.0,-8.0,2.0,2.5,1.0,11.0,0.07142849999999999,6.3876195
47,1,-2.0,,19.0,0.0,1.0,0.0,0.0,0.0,0.3752968895000178,-2.0,1.0,4.0,-3.0,-3.0,-1.0,-2.0,0.0,-4.0,-1.0,8.0,-2.0,6.0,0.0,0.0,3.0,2.0,-10.0,-3.0,-2.0,2.0,-2.0,-1.0,8.0,-1.0,10.0,0.0,6.0,-8.0,3.0,0.0,-1.0,-6.0,11.0,0.0,0.0,-4.0,-12.0,0.0,-5.0,6.0,-2.0,-10.0,4.0,1.0,-4.0,3.0,3.0,-1.0,-6.0,-11.0,-3.0,4.0,9.0,2.0,-2.0,-7.0,2.0,9.0,-8.0,9.0,-3.0,12.0,8.0,16.0,11.0,0.0,-10.0,-10.0,14.0,2.0,5.0,-14.0,-10.0,-4.0,-10.0,-2.0,10.0,14.0,-4.0,-4.0,-1.0,-14.0,12.0,8.0,2.0,-7.0,-14.0,-16.0,-10.0,4.0,1.0,16.0,2.0,19.0,-2.0,-4.0,3.0,0.091837,7.21264
